,业务日期,系统应收,笔数,银行实收,到账日期,差异,匹配来源,状态
0,2025-12-01,1962.88,11,12249.45,2025-12-02,10286.57,T+1,✅ 匹配
1,2025-12-01,1962.88,11,0,-,-1962.88,T+1未到账,❌ 业务未到账
2,2025-12-02,391.6,12,0,-,-391.6,T+1未到账,❌ 业务未到账
3,2025-12-02,391.6,12,18874.35,2025-12-03,18482.75,T+1,✅ 匹配
4,2025-12-03,323.87,8,17732,2025-12-04,17408.13,T+1,✅ 匹配
5,2025-12-03,323.87,8,0,-,-323.87,T+1未到账,❌ 业务未到账
6,2025-12-04,332,9,50337.9,2025-12-05,50005.9,T+1,✅ 匹配
7,2025-12-04,332,9,0,-,-332,T+1未到账,❌ 业务未到账
8,2025-12-05,33005.31,214,33005.31,2025-12-08,0,T+3,✅ 匹配
9,2025-12-05,892.06,128,0,-,-892.06,T+1未到账,❌ 业务未到账
10,2025-12-06,8485,47,8485,2025-12-08,0,T+2,✅ 匹配
11,2025-12-06,347.77,34,0,-,-347.77,T+1未到账,❌ 业务未到账
12,2025-12-07,56.41,4,3160,2025-12-08,3103.59,T+1,✅ 匹配
13,2025-12-07,56.41,4,0,-,-56.41,T+1未到账,❌ 业务未到账
14,2025-12-08,1704.68,10,0,-,-1704.68,T+1未到账,❌ 业务未到账
15,2025-12-08,1704.68,10,59075.87,2025-12-09,57371.19,T+1,✅ 匹配
16,2025-12-09,1186.54,14,32277.8,2025-12-10,31091.26,T+1,✅ 匹配
17,2025-12-09,1186.54,14,1186.54,2025-12-10,0,T+1,✅ 匹配
18,2025-12-10,943.21,15,943.21,2025-12-11,0,T+1,✅ 匹配
19,2025-12-10,943.21,15,72274,2025-12-11,71330.79,T+1,✅ 匹配
20,2025-12-11,211.19,12,211.19,2025-12-12,0,T+1,✅ 匹配
21,2025-12-11,211.19,12,29576,2025-12-12,29364.81,T+1,✅ 匹配
22,2025-12-12,23855,49,23855,2025-12-15,0,T+3,✅ 匹配
23,2025-12-12,152.45,10,152.45,2025-12-13,0,T+1,✅ 匹配
24,2025-12-13,148.20999999999998,11,148.21,2025-12-14,2.842170943040401e-14,T+1,✅ 匹配
25,2025-12-13,4672,39,4672,2025-12-15,0,T+2,✅ 匹配
26,2025-12-14,602.72,127,602.72,2025-12-15,0,T+1,✅ 匹配
27,2025-12-14,602.72,127,4802.2,2025-12-15,4199.48,T+1,✅ 匹配
28,2025-12-15,376.11,18,376.11,2025-12-16,0,T+1,✅ 匹配
29,2025-12-15,376.11,18,71654.21,2025-12-16,71278.1,T+1,✅ 匹配
30,2025-12-16,1970.16,36,0,-,-1970.16,T+1未到账,❌ 业务未到账
31,2025-12-16,1970.16,36,36548,2025-12-17,34577.84,T+1,✅ 匹配
32,2025-12-17,1234.9,8,1234.9,2025-12-18,0,T+1,✅ 匹配
33,2025-12-17,1234.9,8,83122,2025-12-18,81887.1,T+1,✅ 匹配
34,2025-12-18,1211.25,34,26278.5,2025-12-19,25067.25,T+1,✅ 匹配
35,2025-12-18,1211.25,34,1211.25,2025-12-19,0,T+1,✅ 匹配
36,2025-12-19,71.7,79,71.7,2025-12-20,0,T+1,✅ 匹配
37,2025-12-19,23810.6,124,23810.6,2025-12-22,0,T+3,✅ 匹配
38,2025-12-20,491.18,75,491.18,2025-12-21,0,T+1,✅ 匹配
39,2025-12-20,17719.42,456,17719.42,2025-12-22,0,T+2,✅ 匹配
40,2025-12-21,104.88,90,3195.8,2025-12-22,3090.92,T+1,✅ 匹配
41,2025-12-21,104.88,90,104.88,2025-12-22,0,T+1,✅ 匹配
42,2025-12-22,308.83,52,308.83,2025-12-23,0,T+1,✅ 匹配
43,2025-12-22,308.83,52,40956,2025-12-23,40647.17,T+1,✅ 匹配
44,2025-12-23,1064.79,67,1064.79,2025-12-24,0,T+1,✅ 匹配
45,2025-12-23,1064.79,67,22644.4,2025-12-24,21579.61,T+1,✅ 匹配
46,2025-12-24,234.64,68,234.64,2025-12-25,0,T+1,✅ 匹配
47,2025-12-24,234.64,68,7464,2025-12-25,7229.36,T+1,✅ 匹配
48,2025-12-25,662.59,62,662.59,2025-12-26,0,T+1,✅ 匹配
49,2025-12-25,662.59,62,47211.1,2025-12-26,46548.51,T+1,✅ 匹配
50,2025-12-26,1102.9099999999999,59,1102.91,2025-12-27,2.2737367544323206e-13,T+1,✅ 匹配
51,2025-12-26,24617.21,59,24617.21,2025-12-29,0,T+3,✅ 匹配
52,2025-12-27,4473.03,81,4473.03,2025-12-29,0,T+2,✅ 匹配
53,2025-12-27,299.68,50,299.68,2025-12-28,0,T+1,✅ 匹配
54,2025-12-28,270.82,8,10275,2025-12-29,10004.18,T+1,✅ 匹配
55,2025-12-28,270.82,8,270.82,2025-12-29,0,T+1,✅ 匹配
56,2025-12-29,1975.15,28,66937,2025-12-30,64961.85,T+1,✅ 匹配
57,2025-12-29,1975.15,28,1975.15,2025-12-30,0,T+1,✅ 匹配
58,2025-12-30,768.45,16,768.45,2025-12-31,0,T+1,✅ 匹配
59,2025-12-30,768.45,16,17158.07,2025-12-31,16389.62,T+1,✅ 匹配
60,2025-12-31,1667.2,20,0,-,-1667.2,T+1未到账,❌ 业务未到账
61,2025-12-31,23704.3,84,0,-,-23704.3,T+N未到账,❌ 业务未到账
62,-,0,0,623.28,2025-12-01,623.28,未匹配,⚠️ 银行有流水无业务
63,-,0,0,307,2025-12-01,307,未匹配,⚠️ 银行有流水无业务
64,-,0,0,13443.35,2025-12-01,13443.35,未匹配,⚠️ 银行有流水无业务
65,-,0,0,4024.49,2025-12-01,4024.49,未匹配,⚠️ 银行有流水无业务
66,-,0,0,2007.78,2025-12-02,2007.78,未匹配,⚠️ 银行有流水无业务
67,-,0,0,5.1,2025-12-02,5.1,未匹配,⚠️ 银行有流水无业务
68,-,0,0,1591.6,2025-12-03,1591.6,未匹配,⚠️ 银行有流水无业务
69,-,0,0,443.87,2025-12-04,443.87,未匹配,⚠️ 银行有流水无业务
70,-,0,0,2179.5,2025-12-05,2179.5,未匹配,⚠️ 银行有流水无业务
71,-,0,0,7752.07,2025-12-06,7752.07,未匹配,⚠️ 银行有流水无业务
72,-,0,0,1877.27,2025-12-07,1877.27,未匹配,⚠️ 银行有流水无业务
73,-,0,0,256.41,2025-12-08,256.41,未匹配,⚠️ 银行有流水无业务
74,-,0,0,2204.68,2025-12-09,2204.68,未匹配,⚠️ 银行有流水无业务
75,-,0,0,1539.76,2025-12-17,1539.76,未匹配,⚠️ 银行有流水无业务
76,-,0,0,430.4,2025-12-17,430.4,未匹配,⚠️ 银行有流水无业务
